,filename,target
0,Apple (934).jpeg,0
1,Apple (177).jpeg,0
2,Apple (971).jpeg,0
3,Apple (132).jpeg,0
4,Apple (1412).jpeg,0
5,Apple (1880).jpeg,0
6,Apple (1457).jpeg,0
7,Apple (1086).jpeg,0
8,Apple (276).jpeg,0
9,Apple (1838).jpeg,0
10,Apple (1713).jpeg,0
11,Apple (1387).jpeg,0
12,Apple (1756).jpeg,0
13,Apple (1166).jpeg,0
14,Apple (1925).jpeg,0
15,Apple (1123).jpeg,0
16,Apple (1960).jpeg,0
17,Apple (403).jpeg,0
18,Apple (891).jpeg,0
19,Apple (446).jpeg,0
20,Apple (1267).jpeg,0
21,Apple (1222).jpeg,0
22,Apple (829).jpeg,0
23,Apple (702).jpeg,0
24,Apple (396).jpeg,0
25,Apple (747).jpeg,0
26,Apple (851).jpeg,0
27,Apple (486).jpeg,0
28,Apple (814).jpeg,0
29,Apple (1577).jpeg,0
30,Apple (1532).jpeg,0
31,Apple (8).jpeg,0
32,Apple (1918).jpeg,0
33,Apple (313).jpeg,0
34,Apple (356).jpeg,0
35,Apple (787).jpeg,0
36,Apple (1676).jpeg,0
37,Apple (1633).jpeg,0
38,Apple (1840).jpeg,0
39,Apple (1003).jpeg,0
40,Apple (1497).jpeg,0
41,Apple (1805).jpeg,0
42,Apple (1046).jpeg,0
43,Apple (566).jpeg,0
44,Apple (523).jpeg,0
45,Apple (22).jpeg,0
46,Apple (67).jpeg,0
47,Apple (909).jpeg,0
48,Apple (1302).jpeg,0
49,Apple (1347).jpeg,0
50,Apple (1796).jpeg,0
51,Apple (667).jpeg,0
52,Apple (622).jpeg,0
53,Apple (888).jpeg,0
54,Apple (1283).jpeg,0
55,Apple (1652).jpeg,0
56,Apple (1617).jpeg,0
57,Apple (1979).jpeg,0
58,Apple (337).jpeg,0
59,Apple (372).jpeg,0
60,Apple (1553).jpeg,0
61,Apple (1182).jpeg,0
62,Apple (1516).jpeg,0
63,Apple (875).jpeg,0
64,Apple (830).jpeg,0
65,Apple (1899).jpeg,0
66,Apple (292).jpeg,0
67,Apple (643).jpeg,0
68,Apple (606).jpeg,0
69,Apple (968).jpeg,0
70,Apple (43).jpeg,0
71,Apple (1326).jpeg,0
72,Apple (1363).jpeg,0
73,Apple (542).jpeg,0
74,Apple (193).jpeg,0
75,Apple (507).jpeg,0
76,Apple (995).jpeg,0
77,Apple (1864).jpeg,0
78,Apple (1027).jpeg,0
79,Apple (1821).jpeg,0
80,Apple (1062).jpeg,0
81,Apple (1737).jpeg,0
82,Apple (1772).jpeg,0
83,Apple (83).jpeg,0
84,Apple (252).jpeg,0
85,Apple (683).jpeg,0
86,Apple (217).jpeg,0
87,Apple (1859).jpeg,0
88,Apple (1436).jpeg,0
89,Apple (1473).jpeg,0
90,Apple (582).jpeg,0
91,Apple (910).jpeg,0
92,Apple (153).jpeg,0
93,Apple (955).jpeg,0
94,Apple (116).jpeg,0
95,Apple (726).jpeg,0
96,Apple (763).jpeg,0
97,Apple (1243).jpeg,0
98,Apple (1692).jpeg,0
99,Apple (1206).jpeg,0
100,Apple (848).jpeg,0
101,Apple (427).jpeg,0
102,Apple (462).jpeg,0
103,Apple (1593).jpeg,0
104,Apple (1142).jpeg,0
105,Apple (1901).jpeg,0
106,Apple (1107).jpeg,0
107,Apple (1944).jpeg,0
108,Apple (580).jpeg,0
109,Apple (912).jpeg,0
110,Apple (151).jpeg,0
111,Apple (957).jpeg,0
112,Apple (39).jpeg,0
113,Apple (114).jpeg,0
114,Apple (1319).jpeg,0
115,Apple (1434).jpeg,0
116,Apple (1471).jpeg,0
117,Apple (639).jpeg,0
118,Apple (250).jpeg,0
119,Apple (681).jpeg,0
120,Apple (215).jpeg,0
121,Apple (1018).jpeg,0
122,Apple (1735).jpeg,0
123,Apple (1770).jpeg,0
124,Apple (538).jpeg,0
125,Apple (81).jpeg,0
126,Apple (1591).jpeg,0
127,Apple (1140).jpeg,0
128,Apple (1903).jpeg,0
129,Apple (1105).jpeg,0
130,Apple (1946).jpeg,0
131,Apple (308).jpeg,0
132,Apple (425).jpeg,0
133,Apple (460).jpeg,0
134,Apple (1628).jpeg,0
135,Apple (1690).jpeg,0
136,Apple (1204).jpeg,0
137,Apple (724).jpeg,0
138,Apple (761).jpeg,0
139,Apple (1529).jpeg,0
140,Apple (1239).jpeg,0
141,Apple (877).jpeg,0
142,Apple (832).jpeg,0
143,Apple (719).jpeg,0
144,Apple (1551).jpeg,0
145,Apple (1180).jpeg,0
146,Apple (1514).jpeg,0
147,Apple (1138).jpeg,0
148,Apple (335).jpeg,0
149,Apple (370).jpeg,0
150,Apple (418).jpeg,0
